timestamp_s,frame_idx,hybrid_state,hybrid_score,hybrid_raw_score,hybrid_ear,hybrid_ear_thr,hybrid_mar,hybrid_mar_thr,hybrid_perclos,hybrid_c_dur,hybrid_y_dur,hybrid_n_dur,hybrid_nn_score,hybrid_bio_score,hybrid_has_face,hybrid_calib_prog,baseline_state,baseline_score,baseline_raw_score,baseline_confidence,baseline_has_face
1780579911.413,0,CALIBRATING,0.0000,0.0000,0.2261,0.0000,0.0022,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.033,ACTIVE,0.1559,0.4548,0.6784,1
1780579911.605,1,CALIBRATING,0.0000,0.0000,0.2453,0.0000,0.0025,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.067,ACTIVE,0.1778,0.3830,0.5812,1
1780579911.786,2,CALIBRATING,0.0000,0.0000,0.2402,0.0000,0.0035,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.100,ACTIVE,0.5103,0.2614,0.5532,1
1780579911.952,4,CALIBRATING,0.0000,0.0000,0.2372,0.0000,0.0044,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.133,ACTIVE,0.2813,0.4362,0.5754,1
1780579912.131,5,CALIBRATING,0.0000,0.0000,0.2525,0.0000,0.0048,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.167,ACTIVE,0.4945,0.2554,0.6759,1
1780579912.311,7,CALIBRATING,0.0000,0.0000,0.2585,0.0000,0.0033,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.200,ACTIVE,0.3710,0.3742,0.6492,1
1780579912.493,8,CALIBRATING,0.0000,0.0000,0.2531,0.0000,0.0042,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.233,ACTIVE,0.2156,0.3560,0.5702,1
1780579912.684,10,CALIBRATING,0.0000,0.0000,0.2314,0.0000,0.0024,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.267,ACTIVE,0.4867,0.4135,0.6708,1
1780579912.870,12,CALIBRATING,0.0000,0.0000,0.2225,0.0000,0.0043,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.300,ACTIVE,0.4132,0.4527,0.6889,1
1780579913.033,13,CALIBRATING,0.0000,0.0000,0.2281,0.0000,0.0026,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.333,ACTIVE,0.3157,0.4560,0.5807,1
1780579913.209,14,CALIBRATING,0.0000,0.0000,0.2361,0.0000,0.0025,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.367,ACTIVE,0.2318,0.4467,0.5572,1
1780579913.399,16,CALIBRATING,0.0000,0.0000,0.2516,0.0000,0.0028,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.400,ACTIVE,0.3488,0.4859,0.6503,1
1780579913.575,17,CALIBRATING,0.0000,0.0000,0.2374,0.0000,0.0041,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.433,ACTIVE,0.5173,0.2679,0.5918,1
1780579913.769,18,CALIBRATING,0.0000,0.0000,0.2539,0.0000,0.0024,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.467,ACTIVE,0.3526,0.2636,0.6838,1
1780579913.946,20,CALIBRATING,0.0000,0.0000,0.2286,0.0000,0.0046,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.500,ACTIVE,0.3820,0.2506,0.5689,1
1780579914.115,22,CALIBRATING,0.0000,0.0000,0.2494,0.0000,0.0022,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.533,DROWSY,0.4814,0.4860,0.6449,1
1780579914.294,24,CALIBRATING,0.0000,0.0000,0.2354,0.0000,0.0048,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.567,DROWSY,0.1923,0.3402,0.6420,1
1780579914.467,26,CALIBRATING,0.0000,0.0000,0.2409,0.0000,0.0032,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.600,DROWSY,0.2893,0.4516,0.5298,1
1780579914.652,27,CALIBRATING,0.0000,0.0000,0.2589,0.0000,0.0039,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.633,DROWSY,0.4381,0.5493,0.5581,1
1780579914.844,29,CALIBRATING,0.0000,0.0000,0.2271,0.0000,0.0046,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.667,DROWSY,0.2510,0.2742,0.6428,1
1780579915.017,31,CALIBRATING,0.0000,0.0000,0.2505,0.0000,0.0033,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.700,DROWSY,0.1958,0.4369,0.5569,1
1780579915.207,32,CALIBRATING,0.0000,0.0000,0.2446,0.0000,0.0043,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.733,DROWSY,0.3631,0.4933,0.5989,1
1780579915.373,33,CALIBRATING,0.0000,0.0000,0.2587,0.0000,0.0031,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.767,DROWSY,0.2326,0.5237,0.6926,1
1780579915.553,35,CALIBRATING,0.0000,0.0000,0.2581,0.0000,0.0046,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.800,DROWSY,0.3151,0.4240,0.5001,1
1780579915.737,37,CALIBRATING,0.0000,0.0000,0.2249,0.0000,0.0041,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.833,DROWSY,0.4315,0.3541,0.6911,1
1780579915.908,38,CALIBRATING,0.0000,0.0000,0.2249,0.0000,0.0034,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.867,DROWSY,0.3587,0.3194,0.6318,1
1780579916.092,40,CALIBRATING,0.0000,0.0000,0.2551,0.0000,0.0030,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.900,DROWSY,0.4639,0.3313,0.6828,1
1780579916.270,41,CALIBRATING,0.0000,0.0000,0.2403,0.0000,0.0031,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.933,DROWSY,0.1664,0.4102,0.5432,1
1780579916.468,42,CALIBRATING,0.0000,0.0000,0.2475,0.0000,0.0050,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,0.967,DROWSY,0.4052,0.3289,0.6017,1
1780579916.644,43,CALIBRATING,0.0000,0.0000,0.2503,0.0000,0.0021,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.0000,1,1.000,DROWSY,0.2725,0.3404,0.6332,1
1780579916.822,45,ACTIVE,0.0100,0.0000,0.2467,0.1436,0.0045,0.4500,0.0222,0.00,0.00,0.00,0.0110,0.0000,1,0.000,ACTIVE,0.0235,0.0000,0.7445,1
1780579916.988,46,ACTIVE,0.0286,0.0000,0.2570,0.1436,0.0024,0.4500,0.0301,0.00,0.00,0.00,0.0220,0.0000,1,0.000,ACTIVE,0.0368,0.0000,0.6474,1
1780579917.172,47,ACTIVE,0.0152,0.0000,0.2387,0.1436,0.0037,0.4500,0.0188,0.00,0.00,0.00,0.0148,0.0000,1,0.000,ACTIVE,0.0156,0.0000,0.7228,1
1780579917.348,48,ACTIVE,0.0198,0.0000,0.2318,0.1436,0.0041,0.4500,0.0316,0.00,0.00,0.00,0.0270,0.0000,1,0.000,ACTIVE,0.0228,0.0000,0.7245,1
1780579917.538,49,ACTIVE,0.0100,0.0000,0.0810,0.1436,0.0020,0.4500,0.0167,0.00,0.00,0.00,0.0163,0.0000,1,0.000,ACTIVE,0.0938,0.0538,0.5969,1
1780579917.701,50,ACTIVE,0.0100,0.0000,0.2603,0.1436,0.0032,0.4500,0.0162,0.00,0.00,0.00,0.0223,0.0000,1,0.000,ACTIVE,0.2155,0.1755,0.7826,1
1780579917.892,52,ACTIVE,0.0100,0.0000,0.2351,0.1436,0.0039,0.4500,0.0163,0.00,0.00,0.00,0.0359,0.0000,1,0.000,ACTIVE,0.1945,0.1545,0.6692,1
